date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,optionid,forward_price,ticker,index_flag,issuer,exercise_style
2025-01-02,2025-01-17,2024-12-31,C,1000000,4857.4,4873,0,2017,,157015259,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-03-15,C,1200000,4658.4,4675.9,0,2,,157015260,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-01-23,C,1400000,4458.8,4476.4,0,24,,157015261,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-20,C,1600000,4259.3,4276.9,0,2,,157015262,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-20,C,1800000,4059.7,4075.3,0,61,,157015263,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-10-28,C,1900000,3960,3977.6,0,1,,157015264,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-24,C,200000,5656.1,5673.6,0,65,,157015265,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,2000000,3859.7,3875.3,0,1834,,157015266,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-20,C,2100000,3760.4,3778,0,8,,157015267,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,2200000,3660.6,3678.3,0,165,,157015268,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-19,C,2300000,3560.9,3578.5,0,1,,157015269,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-11-27,C,2400000,3461.1,3476.7,0,0,,157015270,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,2500000,3361.3,3379,0,22,,157015271,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2025-01-02,C,2600000,3261.1,3276.7,1,4,,157015272,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,2700000,3161.8,3177.4,0,0,,157015273,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-11-15,C,2750000,3111.9,3129.6,0,6,,157015274,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-24,C,2800000,3062.1,3079.7,0,5,,157015275,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,2850000,3012.2,3027.7,0,74,,157015276,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,2900000,2962.3,2977.9,0,6,,157015277,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,2950000,2912.4,2929.9,0,38,,157015278,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-27,C,3000000,2862.5,2880.2,0,456,,157015279,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,3050000,2812.7,2828.2,0,5,,157015280,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,3100000,2762.8,2778.4,0,11,,157015281,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,3125000,2737.8,2755.5,0,318,,157015282,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,3150000,2712.9,2728.5,0,8,,157015283,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,3175000,2688,2705.3,0,8,,157015284,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,3200000,2663,2680,0,30,,157015285,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-31,C,3225000,2638.1,2655.8,0,4,,157015286,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-12-27,C,3250000,2613.2,2628.7,0,128,,157015287,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-07-19,C,3275000,2588.2,2605.9,0,1,,157015288,,SPX,1,CBOE S&P 500 INDEX,E
2025-01-02,2025-01-17,2024-03-12,C,3300000,2562.9,2578.4,0,6,,157015289,,SPX,1,CBOE S&P 500 INDEX,E
